patent_id,title,abstract,ipc_codes,cpc_codes,cites,cited_by,publication_year
076-522-320-814-173,Liner-free conductive structures,"The present disclosure describes a method for forming liner-free or barrier-free conductive structures. The method includes forming a liner-free conductive structure on a cobalt conductive structure disposed on a substrate, depositing a cobalt layer on the liner-free conductive structure and exposing the liner-free conductive structure to a heat treatment. The method further includes removing the cobalt layer from the liner-free conductive structure.",H10D64/62; H01L21/768; H01L23/535,H10D64/62; H01L21/76802; H01L21/76877; H01L21/76895; H01L23/535,070-409-747-164-357; 003-783-553-441-256; 000-015-534-191-721; 071-311-891-230-25X; 151-124-071-622-617,,2026
079-261-750-031-407,Spacer structures for nano-sheet-based devices,"A semiconductor device includes a substrate, a first source/drain feature and a second source/drain feature over the substrate, a first semiconductor layer and a second semiconductor layer between the first and the second source/drain features, and a gate between the first and the second source/drain features. A portion of the gate is further between the first and the second semiconductor layers. Moreover, the semiconductor device includes a first inner spacer and a second inner spacer. The first inner spacer is between the first and the second semiconductor layers and further between the portion of the gate and a portion of the first source/drain feature. Furthermore, the portion of the first source/drain feature is between the first semiconductor layer and the second semiconductor layer. The first inner spacer has a U-shaped profile. Additionally, the second inner spacer is between the first inner spacer and the portion of the first source/drain feature.",H10D30/67; H01L21/02; H10D30/01; H10D62/00; H10D62/10; H10D64/01; H10D64/66,H10D30/6739; H01L21/02603; H10D30/031; H10D30/6713; H10D30/6735; H10D30/6757; H10D62/021; H10D62/121; H10D64/018; H10D64/671,120-119-609-433-105; 123-825-261-917-404; 074-697-416-367-701; 051-697-770-184-110; 108-723-302-676-387; 182-682-148-789-476; 149-501-409-691-695; 136-213-330-963-258; 184-126-439-154-409; 079-993-470-483-779; 102-344-759-954-967; 123-551-925-025-500,,2026
133-136-447-756-791,Semiconductor package,"A semiconductor package includes a first semiconductor chip, a plurality of second semiconductor chips stacked on the first semiconductor chip, and having widths narrower than a width of the first semiconductor chip, and a molded layer on an upper surface of the first semiconductor chip. The first semiconductor chip includes first front-surface pads, a first back-surface insulating layer divided into a first region and a second region, first back-surface pads in the first region, dummy pads in the second region, the dummy pads respectively having an upper surface on which a metal oxide film is disposed, and a first through-electrode electrically connecting the first front-surface pads and the first back-surface pads to each other. The plurality of second semiconductor chips respectively includes second front-surface pads, second back-surface pads, and a second through-electrode electrically connecting the second front-surface pads and the second back-surface pads to each other.",H01L25/065; H01L23/00; H01L23/31; H01L23/544; H10B80/00,H01L25/0657; H01L23/3107; H01L23/544; H01L24/05; H01L24/08; H10B80/00; H01L24/32; H01L24/96; H01L24/97; H01L2223/54426; H01L2224/05147; H01L2224/08145; H01L2224/08225; H01L2224/32221; H01L2224/96; H01L2224/97; H01L2225/06541; H01L2225/06593; H01L2924/1431; H01L2924/1436; H01L2924/1437; H01L2924/1441,123-811-598-392-327; 147-383-128-388-799; 105-300-143-680-587; 156-115-435-038-284; 040-837-403-724-843,,2026
053-030-807-665-450,Semiconductor package,"A semiconductor package includes at least one semiconductor module on a substrate. The semiconductor module includes a first semiconductor chip having a first surface and a second surface opposite to the first surface, a second semiconductor chip on the first surface, a plurality of conductive pillars on the first surface, and a redistribution substrate on the second semiconductor chip and the plurality of conductive pillars. The redistribution substrate has a third surface and a fourth surface opposite to the third surface. The third surface of the redistribution substrate faces the first surface of the first semiconductor chip, the plurality of conductive pillars are electrically connected to the first surface of the first semiconductor chip and the third surface of the redistribution substrate, and the fourth surface of the redistribution substrate is electrically connected to the substrate of the semiconductor package.",H01L25/10; H01L21/56; H01L23/00; H01L23/31; H01L23/498; H01L23/538; H01L25/065,H01L25/105; H01L21/561; H01L23/3107; H01L23/49811; H01L23/49816; H01L23/5383; H01L24/05; H01L24/14; H01L24/16; H01L24/32; H01L24/73; H01L24/94; H01L25/0657; H01L2224/0401; H01L2224/1403; H01L2224/16145; H01L2224/32225; H01L2224/73253; H01L2224/94,066-847-725-516-468; 159-851-458-458-462; 176-344-067-649-114; 149-886-620-893-727; 033-803-360-361-149,,2026
083-458-512-350-430,"Device, system and method for voltage generating","A device in a chamber is provided. The device comprises at least one die. The at least one die comprise a first voltage generator, a dielectric layer and a first voltage regulator circuit. The first voltage generator is charged to have a first induced voltage by induced charges generated in response to a first voltage of a first electrode of a chuck in the chamber. The dielectric layer surrounds the first voltage generator to isolate the first voltage generator from the first electrode. The first voltage regulator circuit is coupled to the first voltage generator to receive the first induced voltage and generates a first power supply voltage according to the first induced voltage for a first circuit in the device.",H01L21/66; G05F1/10,H01L22/34; H01L22/14; G05F1/10,,,2026
180-855-258-175-256,Grain structure engineering for metal gapfill materials,"A method for depositing copper onto a substrate includes grain engineering to control the internal structure of the copper. In some embodiments, the method comprises depositing a grain control layer conformally onto a copper seed layer in a structure on the substrate where the grain control layer is a non-conducting material, etching the grain control layer using a direct deep reactive ion etch (DRIE) process to remove portions of the grain control layer on horizontal surfaces within the structure, and depositing a copper material onto the structure such that at least one grain parameter of the copper material is controlled, at least in part, by a remaining portion of the grain control layer on vertical surfaces of the structure. In some embodiments, the deposited copper material in the structure has a < 111> grain orientation normal to a horizontal surface of the structure.",H01L23/00,H01L24/03; H01L24/05; H01L24/80; H01L24/08; H01L2224/03462; H01L2224/03466; H01L2224/03614; H01L2224/03622; H01L2224/03845; H01L2224/05011; H01L2224/05018; H01L2224/05026; H01L2224/05082; H01L2224/05147; H01L2224/05166; H01L2224/05181; H01L2224/05186; H01L2224/0519; H01L2224/05546; H01L2224/05571; H01L2224/05647; H01L2224/0812; H01L2224/80357; H01L2224/80896; H01L2924/04953; H01L2924/0504; H01L2924/05442; H01L2924/059; H01L2924/062; H01L2924/07025; H01L2924/20106; H01L2924/20107,176-912-307-316-574; 020-847-391-456-215; 170-240-816-414-140,,2026
030-222-234-074-830,Bonding alignment marks at bonding interface,"Embodiments of bonded semiconductor structures and fabrication methods thereof are disclosed. In an example, a bonded structure includes a first bonding layer including a first bonding contact and a first bonding alignment mark, a second bonding layer including a second bonding contact and a second bonding alignment mark, and a bonding interface between the first bonding layer and the second bonding layer. The first bonding alignment mark is aligned with the second bonding alignment mark at the bonding interface, such that the first bonding contact is aligned with the second bonding contact at the bonding interface. The first bonding alignment mark includes a plurality of first repetitive patterns. The second bonding alignment mark includes a plurality of second repetitive patterns different from the plurality of first repetitive patterns.",H01L23/528; G03F9/00; H01L23/00; H01L23/544; H01L25/065; H10B43/50,H01L23/5283; G03F9/7049; G03F9/7088; G03F9/7092; H01L23/544; H01L24/80; H01L25/0657; H10B43/50; H01L24/05; H01L24/08; H01L2223/54426; H01L2224/04; H01L2224/05624; H01L2224/05647; H01L2224/05657; H01L2224/05684; H01L2224/05686; H01L2224/08121; H01L2224/08145; H01L2224/08146; H01L2224/8013; H01L2224/80132; H01L2224/80895; H01L2224/80896; H01L2224/80905; H01L2224/80908; H01L2225/06524; H01L2225/06544; H01L2225/06565,154-394-297-060-708; 174-143-750-663-582; 095-959-737-972-573; 124-668-060-027-528; 107-754-267-265-392; 090-671-903-951-037; 194-890-304-682-470; 074-765-927-095-906; 141-579-934-169-319; 112-339-321-256-730; 049-400-289-608-552; 146-999-141-959-09X; 162-557-633-380-078,,2026
063-034-011-806-220,Antenna package using ball attach array to connect antenna and base substrates,"In accordance with disclosed embodiments, there is an antenna package using a ball attach array to connect an antenna and base substrates of the package. One example is an RF module package including an RF antenna package having a stack material in between a top and a bottom antenna layer to form multiple antenna plane surfaces, a base package having alternating patterned conductive and dielectric layers to form routing through the base package, and a bond between a bottom surface of the antenna package and to a top surface of the base package.",H01Q9/04; H01L21/48; H01L21/56; H01L23/498; H01L23/66,H01Q9/0414; H01L21/4853; H01L21/4857; H01L21/563; H01L23/49816; H01L23/49822; H01L23/49838; H01L23/66; H01L2223/6616; H01L2223/6677,114-011-508-884-861; 026-268-723-756-997; 152-514-547-311-022; 060-255-921-411-922; 098-274-259-898-301; 136-725-395-898-978; 019-988-303-434-352; 022-007-433-842-490; 112-850-009-546-432,,2026
198-592-587-172-306,IC including capacitor having segmented bottom plate,"An IC includes a substrate including circuitry configured to provide a receiver or a transmitter circuit. A metal stack is over the semiconductor surface including a top metal layer and a plurality of lower metal layers. An isolation capacitor includes the top metal layer as a top plate that is electrically connected to a first node; and a top dielectric layer on the top plate with a top plate dielectric aperture. One of the plurality of lower metal layers provides a bottom plate that includes a plurality of spaced apart segments. A capacitor dielectric layer is between the top and bottom plate. The segments include a first segment electrically connected to a second node and at least a second segment electrically connected to a third node, with separation regions located between adjacent spaced apart segments. The top plate covers at least a portion of each of the separation regions.",H01L23/495; H01L23/00; H01L23/31; H01L23/522; H01L23/528; H10D1/68,H10D1/692; H01L23/3107; H01L23/49513; H01L23/4952; H01L23/49575; H01L23/5223; H01L23/5286; H01L24/05; H01L2224/04042; H01L2224/05025; H01L2924/1426,053-860-530-025-719; 085-942-865-525-395; 129-620-596-519-263,,2026
129-457-401-898-586,High-density micro-LED arrays with reflective sidewalls,"Micro-LED structures include an LED epilayer that may be formed before the micro-LED structure is coupled to a backplane substrate. In order to prevent light leakage and maximize light output, the sidewalls and other surfaces of the LED epilayer may be coated with a reflective coating. For example, the reflective coating may include a metal layer that is electrically insulated between dielectric layers from the micro-LED electrodes. The reflective coating may also be formed using multiple layers in a distributed Bragg reflector configuration. This reflective coating may be formed during the LED fabrication process before the micro-LED structure is coupled to the backplane. The pixel isolation structures on the backplane may also include a reflective coating that is applied above the LED epilayers.",H10H20/841; H01L25/16; H10H20/01; H10H20/825; H10H20/856; H10H29/14; H10H29/80; H10K59/12; H10K59/122; H10K59/35; H10K59/80,H10H20/841; H01L25/167; H10H20/011; H10H20/032; H10H20/825; H10H20/856; H10H29/142; H10H29/8421; H10K59/1201; H10K59/122; H10K59/35; H10K59/878; H10H20/034,070-093-729-243-918; 071-701-023-444-825; 165-782-079-670-00X; 172-013-693-107-169; 162-182-978-362-66X; 144-699-899-701-511; 169-811-529-116-694; 081-612-555-474-425; 135-929-572-692-97X; 136-863-519-748-425,,2026
015-198-109-502-567,Electronic device,"An electronic device includes a substrate, a support body, and a conductive film. The substrate is a piezoelectric substrate or a compound semiconductor substrate including a first main surface with functional elements. The support body is provided at a second main surface of the substrate opposite to the first main surface and has a higher thermal conductivity than the substrate. The conductive film is located in a through hole extending through the support body and has a higher thermal conductivity than the support body.",H01L23/373; H03H9/25; H10N30/853,H01L23/3735; H03H9/25; H10N30/8542,140-886-686-950-301; 149-199-919-136-750; 096-571-994-420-580; 051-423-396-087-012; 125-245-824-864-214,,2026
068-426-017-316-745,"Integrated assemblies, and methods of forming integrated assemblies","Some embodiments include an integrated assembly having a first deck. The first deck has first memory cell levels alternating with first insulative levels. A second deck is over the first deck. The second deck has second memory cell levels alternating with second insulative levels. A cell-material-pillar passes through the first and second decks. Memory cells are along the first and second memory cell levels and include regions of the cell-material-pillar. An intermediate level is between the first and second decks. The intermediate level includes a buffer region adjacent the cell-material-pillar. The buffer region includes a composition different from the first and second insulative materials, and different from the first and second conductive regions. Some embodiments include methods of forming integrated assemblies.",H10B43/27; G11C5/02; G11C5/06; G11C16/04; H01L21/768,H10B43/27; G11C5/025; G11C5/06; G11C16/0466; H01L21/76802; H01L21/76877,090-469-309-214-182; 151-546-453-761-188; 170-727-723-531-959; 015-922-230-650-785,,2026
115-035-357-900-790,Method for forming a semiconductor structure,"The present invention uses the thinned second pad oxide layer as the pad oxide layer for the subsequent shallow trench isolation process. Therefore, it is not necessary to remove the entire pad oxide layer on the substrate surface after the P-type high-voltage ion well thermal drive-in process. The subsequent step of re-growing the pad oxide layer is omitted, thereby simplifying the process complexity.",H01L21/266; H01L21/762,H01L21/266; H01L21/76224,151-334-810-606-967,,2026
181-585-057-962-527,Integrated circuit structure,"An integrated circuit structure is provided, including a gate, a first conductive line and a pair of second conductive lines, and a first feed-through via. The gate is disposed on a front side of the integrated circuit structure and extends in a first direction on a first side of a dielectric layer. The first conductive line and a pair of second conductive lines are disposed on a second side, opposite of the first side, of the dielectric layer and on a back side, opposite of the front side, of the integrated circuit structure. The first conductive line is interposed between the pair of second conductive lines in a layout view. The first feed-through via extends through the dielectric layer in a second direction different from the first direction. The first feed-through via couples the gate to the first conductive line.",H01L23/522; H01L21/768; H01L23/528; H10D89/10,H01L23/5226; H01L21/76895; H01L23/528; H10D89/10,,,2026
091-863-721-543-14X,AlN ceramic substrate and heater for semiconductor manufacturing apparatus,"An AlN ceramic substrate of the present invention contains yttrium aluminate, and has a volume resistivity of 3×10 9 Ωcm or more at 550° C.",H01L21/67,H01L21/67103,133-123-741-167-266; 120-432-614-853-770; 113-270-497-846-99X; 168-164-973-501-404; 156-983-155-703-067,,2026
043-424-892-878-272,Light emitting display device,"A light emitting display device includes: a first pixel which displays a first color, and includes a first light emitting diode and a first pixel circuit portion connected to the first light emitting diode; and a second pixel which displays a second color, and includes a second light emitting diode and a second pixel circuit portion connected to the second light emitting diode. The first pixel circuit portion includes an initialization transistor which transmits an initialization voltage to the first light emitting diode, and the initialization transistor of the first pixel circuit portion includes a first gate electrode and a second gate electrode which receive a gate-on voltage. The second pixel circuit portion includes an initialization transistor which transmits the initialization voltage to the second light emitting diode, and the initialization transistor of the second pixel circuit portion includes a first gate electrode which receives the gate-on voltage.",H01L25/16; H01L25/075; H10D86/40; H10D86/60; H10H20/857,H01L25/167; H01L25/0753; H10D86/441; H10D86/60; H10H20/857,098-309-525-897-043; 115-260-787-729-189; 124-151-343-428-805,,2026
069-512-132-717-840,Deformation compensation method for growing thick galium nitride on silicon substrate,"A method of manufacturing a structure for power electronics which includes epitaxially growing a GaN semiconductor layer is provided. The method includes growing buffer layers formed of AlN and Al x Ga (1-x) N, wherein 0<x<1, on a Si substrate before growing the semiconductor layer on the buffer layers. The method also includes growing deformation compensation layers formed of SiO 2, SiC x N (1-x), SiN, SiC x O (1-x), SiC, SiN x O (1-x), Al 2 O 3, and/or Cr 2 O 3, wherein 0<x<1, on the substrate opposite the semiconductor layer. The deformation compensation layers compensate for deformation of the structure that occurs while growing the semiconductor and buffer layers and deformation that occurs while cooling the structure. The method further includes estimating epitaxial growth stress, interface stress, and thermal stress of the structure, and adjusting the temperature and or thickness of the layers based on the estimated epitaxial growth stress, interface stress, and/or thermal stress.",H01L21/02; C30B25/16; C30B25/18; C30B29/40; H01L23/29; H01L23/31,C30B25/16; C30B25/183; C30B29/406; H01L21/022; H01L21/02381; H01L21/02458; H01L21/02502; H01L21/0254; H01L23/3171; H01L23/3192; H01L21/02126; H01L21/0214; H01L21/02164; H01L21/02167; H01L21/0217; H01L21/02175; H01L23/291,076-192-283-706-894; 111-283-323-074-467,,2026
075-664-314-660-451,Display device and method for fabrication thereof,"A display device and method for fabrication thereof are provided. The display device includes a first electrode and a second electrode spaced apart from the first electrode in a second direction, light emitting elements disposed on the first electrode and the second electrode, a first insulating layer disposed on the light emitting elements, a first connection electrode disposed on the first electrode and electrically contacting each of the light emitting elements, and a second connection electrode disposed on the second electrode and electrically contacting each of the light emitting elements, and the first insulating layer includes a first portion and a second portion having a thickness larger than a thickness of the first portion of the first insulating layer.",H10H20/831; H01L25/075; H10H20/01; H10H20/857,H10H20/8312; H01L25/0753; H10H20/01; H10H20/857; H10H20/032,031-577-574-889-760; 120-985-387-972-680; 005-858-101-145-903; 024-626-757-197-657,,2026
190-294-981-544-896,Integrated dipole region for transistor,"Methods of manufacturing and processing semiconductor devices (i.e., electronic devices) are described. Embodiments of the disclosure advantageously provide electronic devices which meet reduced thickness, lower thermal budget, and Vt requirements, and have improved device performance and reliability. The electronic devices described herein comprise a source region, a drain region, and a channel separating the source region and the drain region, an interfacial layer on a top surface of the channel, a high-κ dielectric layer on the interfacial layer, a dipole layer on the high-κ dielectric layer, and a capping layer on the dipole layer. In some embodiments, the dipole layer comprises a metal oxynitride (MON), such as aluminum oxynitride (AlON). In some embodiments, the methods comprise annealing the substrate to drive atoms from the dipole layer into one or more of the interfacial layer or the high-k dielectric layer.",H01L21/02; H01L21/28,H01L21/02321; H01L21/02178; H01L21/02181; H01L21/02189; H01L21/02194; H01L21/28229,004-310-672-535-593; 180-381-905-374-648; 046-837-654-191-090; 186-371-127-218-460; 062-485-383-710-891; 055-489-941-176-094,,2026
104-027-526-893-546,Semiconductor device,"According to one embodiment, there is provided a semiconductor device including a chip, and a gate electrode connected to a gate electrode pad provided on the chip. The gate electrode includes an external exposed portion having an external exposed surface that is flush with an external exposed surface of a sealing resin, and a gate electrode pad connection portion continuous with the external exposed portion and connected to the gate electrode pad, the gate electrode pad connection portion including a portion sandwiched between the gate electrode pad and a part of the sealing resin.",H01L23/495; H01L21/48; H01L21/56; H01L23/31,H01L23/4951; H01L21/4846; H01L21/56; H01L23/3107; H01L23/49562; H01L2224/06; H01L2224/061,178-510-720-376-969; 064-870-048-722-258; 001-989-622-808-973; 078-379-835-435-432; 013-756-659-243-871; 115-439-855-884-974,,2026
111-875-678-124-522,"Method of manufacturing barrier-metal-free metal interconnect structure, and barrier-metal-free metal interconnect structure","The present invention relates to a metal interconnect structure containing no barrier metal and a method of manufacturing the metal interconnect structure. The method includes: filling at least a first interconnect trench with an intermetallic compound by depositing the intermetallic compound on an insulating layer having the first interconnect trench and a second interconnect trench formed in the insulating layer, the second interconnect trench being wider than the first interconnect trench; performing a planarization process of polishing the intermetallic compound until the insulating layer is exposed; and then performing a height adjustment process of polishing the intermetallic compound and the insulating layer until a height of the intermetallic compound in the first interconnect trench reaches a predetermined height.",H01L21/768; H01L23/532,H01L21/7684; H01L21/76816; H01L21/76873; H01L21/76877; H01L23/53238,027-639-599-461-070; 016-248-134-595-899; 048-650-400-919-224; 047-583-800-827-35X; 103-353-121-719-715; 183-050-757-207-479; 038-116-600-134-39X,,2026
039-442-685-301-176,Integrated structure with trap rich regions and low resistivity regions,"The present disclosure relates to semiconductor structures and, more particularly, to a substrate with trap rich and low resistivity regions and methods of manufacture. The structure includes: a high resistivity semiconductor substrate; an active device over the high resistivity semiconductor substrate; and a low resistivity region floating in the high resistivity semiconductor substrate and which is below the active device.",H10D86/00; H01L21/762; H01L23/66; H10D86/01,H10D86/201; H01L21/76267; H01L21/76283; H01L23/66; H10D86/01; H01L2223/6672,085-842-699-597-490; 058-509-066-313-744; 172-076-031-965-402; 038-770-498-637-703; 023-333-918-856-33X; 096-797-771-986-570; 041-443-771-289-763; 144-776-341-408-38X,,2026
116-036-579-947-819,Method for manufacturing semiconductor structure and semiconductor structure thereof,"A semiconductor structure includes a first, second and third isolations. The first isolation and a second isolation are disposed in a substrate and substantially parallel to each other, wherein a portion of the substrate is disposed between the first isolation and the second isolations. The third isolation is disposed over the portion of the substrate between the first and second isolations. A top surface of the third isolation is substantially aligned with top surfaces of the first and second isolations. A first step is between a bottom surface of the third isolation and a bottom surface of the first isolation. A second step between the bottom surface of the third isolation and a bottom surface of the second isolation. A method for manufacturing a semiconductor structure is also provided.",H10D62/10; H01L21/762; H10D30/60,H10D62/115; H01L21/76224; H10D30/60,198-872-390-615-317,,2026
151-211-131-375-167,High selectivity doped hardmask films,"The present disclosure relates to high selectivity doped hardmask films, as well as methods of providing and using such films. In particular examples, the high selectivity doped hardmask film can be employed as a hardmask, an intermediate layer, or a coverage layer.",H01L21/033; C23C16/06; H01J37/32; C23C16/505,H01L21/0332; H01J37/32926; C23C16/06; C23C16/505; H01J2237/3321,176-778-964-263-404; 189-392-962-362-257; 072-711-428-493-882; 079-788-194-323-767; 080-562-584-121-224; 006-671-898-575-72X; 059-525-256-883-39X; 062-162-677-692-274; 035-274-014-261-286; 106-511-063-710-092; 116-382-548-796-247; 173-906-696-298-532; 153-501-794-570-033; 096-593-501-487-89X; 047-931-882-937-285; 137-106-395-535-409; 104-514-161-634-207; 081-155-268-506-622; 004-306-212-366-90X; 110-174-063-663-652; 159-445-644-999-998; 118-450-960-615-879; 060-257-569-125-407; 041-294-517-293-090; 195-627-753-145-994; 188-547-683-941-640; 154-158-592-214-584; 014-001-338-377-052; 146-080-935-425-002; 009-097-059-752-268; 166-918-322-212-196; 183-821-224-240-324; 125-010-810-168-369; 176-431-379-345-262; 193-567-953-678-213; 044-601-737-431-885; 052-677-791-821-957; 139-858-727-340-419; 027-569-825-400-006; 106-703-819-779-214; 032-978-416-892-941; 159-492-002-522-436; 078-210-649-313-729; 036-365-257-100-305; 095-398-966-716-234; 063-864-512-183-749; 006-228-540-172-76X; 079-127-714-412-870; 159-773-721-961-815; 063-318-533-431-598; 179-588-817-595-240; 186-990-173-246-705; 193-638-970-428-617; 054-193-015-898-021; 141-353-412-718-817; 084-615-686-809-080; 093-749-922-779-718; 011-106-797-918-470; 138-085-958-367-231; 147-269-512-236-440; 097-719-482-841-167; 197-698-764-396-933; 016-953-418-039-214; 157-895-228-642-012; 066-392-217-569-434; 150-395-742-665-094; 100-775-967-078-916; 066-021-679-203-979; 148-039-087-148-900; 019-290-869-017-289; 172-174-325-853-181; 000-036-292-109-897; 151-045-053-471-59X; 028-270-121-062-408; 061-231-869-266-624; 046-840-451-310-632; 029-858-624-858-778; 138-383-068-603-226; 146-933-453-949-964; 087-179-633-291-880; 072-141-827-298-521; 131-762-260-675-292; 089-866-529-971-947; 091-364-701-322-730; 184-235-408-975-40X; 160-229-803-514-740; 143-003-837-543-680; 167-297-653-505-572; 064-463-636-489-466; 167-792-160-363-885; 089-890-210-726-448; 099-367-295-526-694; 031-486-405-975-939; 131-676-990-145-727; 015-061-404-243-281; 078-019-261-670-847; 126-269-740-212-457; 020-560-344-254-161; 041-242-330-686-930; 135-789-030-753-668; 195-146-185-737-918; 162-741-406-578-690; 156-122-263-600-749; 105-404-281-296-424; 058-248-697-021-569; 172-177-504-549-314; 082-942-122-320-98X; 126-110-135-867-40X; 164-010-578-061-608; 013-694-926-779-304; 170-636-973-202-476; 163-482-591-380-450; 184-614-591-839-050; 053-889-618-880-612; 193-570-519-330-756; 000-371-343-914-537; 036-590-921-420-771; 090-321-097-826-177; 133-543-533-738-520; 058-766-074-698-91X; 181-999-105-072-677; 037-866-634-481-265; 038-438-460-791-874; 178-055-921-381-391; 166-385-271-608-203; 052-081-279-830-494; 160-808-537-453-442; 132-344-476-573-61X; 161-563-714-793-477; 119-730-158-515-603; 185-794-469-593-621; 004-367-232-058-882; 043-083-240-931-418; 118-551-539-542-04X; 042-011-918-495-316; 065-693-341-888-240; 198-680-488-212-819; 141-351-441-734-50X; 035-150-871-366-918; 119-104-100-621-077; 198-424-683-042-170; 004-605-232-803-492; 126-958-705-269-566; 198-272-281-299-408; 167-441-511-098-709; 023-808-633-717-05X; 086-438-135-770-077; 071-562-290-127-165; 110-225-600-532-509; 149-199-976-741-623; 042-842-881-852-320; 154-249-106-520-96X; 027-572-673-952-297; 078-239-402-395-573; 190-093-075-634-40X; 188-479-900-919-748; 172-111-781-789-058; 102-761-160-707-203; 137-509-588-532-497; 107-955-703-116-264; 116-833-155-785-942; 025-915-871-981-194; 163-954-997-399-744; 158-246-133-613-16X; 194-129-266-243-038; 111-406-119-918-973; 052-327-532-674-93X; 094-247-192-252-266; 190-170-914-842-485; 067-624-486-932-429; 111-645-119-472-850; 174-173-984-775-664; 138-651-703-903-980; 139-053-523-859-464; 106-404-112-082-720; 075-322-175-839-004; 035-380-542-564-546; 190-631-528-518-133; 195-850-361-711-186; 194-758-511-811-687; 048-692-511-693-227; 026-263-727-269-149; 158-857-988-638-082; 059-411-459-560-771; 198-020-238-018-219; 077-759-300-903-314; 069-257-364-425-470; 139-410-710-334-13X; 155-977-701-117-288; 051-705-146-604-481; 171-351-733-409-942; 112-871-074-049-54X; 145-159-410-215-673; 090-949-744-704-058; 118-765-477-453-44X; 163-987-300-088-956; 077-420-581-853-356; 178-382-496-687-40X,,2026
189-742-522-496-910,Integrated circuit package and method,A package structure and a method of forming the same are provided. A method includes forming first electrical connectors and second electrical connectors on a first side of an interposer wafer. An integrated circuit die is bonded to the first side of the interposer wafer using the first electrical connectors. A stiffener structure is attached to the first side of the interposer wafer adjacent the integrated circuit die. The stiffener structure covers the second electrical connectors in a plan view. The integrated circuit die and the stiffener structure are encapsulated with a first encapsulant. The interposer wafer and the stiffener structure are singulated to form a stacked structure.,H01L23/24; H01L21/48; H01L21/56; H01L23/00; H01L23/31; H01L23/498; H01L25/00; H01L25/065; H01L25/10,H01L23/24; H01L21/4846; H01L21/561; H01L23/3135; H01L23/3185; H01L23/49827; H01L24/16; H01L24/81; H01L24/97; H01L25/0655; H01L25/105; H01L25/50; H01L2224/16145; H01L2224/81815; H01L2225/1035; H01L2225/1058,073-349-777-518-037; 068-071-456-371-543; 109-590-171-866-999; 080-264-351-738-949; 028-592-821-854-600; 199-396-317-293-093; 025-038-586-327-888; 011-333-956-363-266; 071-277-976-002-954; 090-342-605-753-051; 000-356-198-331-38X; 093-329-622-036-719; 007-603-132-091-803; 055-695-239-174-694; 051-123-691-019-27X; 159-538-213-943-08X; 077-633-740-492-682; 076-388-456-468-033,,2026
134-862-540-162-464,Metal spacers with hard masks formed using a subtractive process,"An integrated circuit device includes a first interconnect layer, and a conductive first interconnect feature and a conductive second interconnect feature laterally separated by a body of insulating or semiconductor material. In an example, the first and second interconnect features are above the first interconnect layer. The integrated circuit device further includes a non-conductive feature above and on the first interconnect feature, and a conductive third interconnect feature above and on the second interconnect feature. The integrated circuit device also includes a second interconnect layer above the non-conductive feature and third interconnect features. In an example, the second and third interconnect features conductively couple the first and second interconnect layers.",H01L23/528; H01L21/768; H01L23/522,H01L23/528; H01L21/76825; H01L23/5226; H01L23/5228,,,2026
050-893-789-971-888,"IC chip mounting device, and IC chip mounting method","The present invention is an IC chip mounting apparatus including: a conveyor configured to convey an antenna continuous body on a conveying surface, the antenna continuous body having a base material and plural inlay antennas continuously formed on the base material; an ejection unit configured to eject a thermosetting adhesive toward a reference position of each antenna in the antenna continuous body; an IC chip placement unit configured to place an IC chip on the adhesive that is located on the reference position of each antenna in the antenna continuous body; a first light irradiator configured to irradiate the adhesive of each antenna with a first light, in the vicinity of a position where an IC chip is located on the conveying surface; and a second light irradiator configured to irradiate the adhesive of each antenna with a second light, at a position downstream from a position where the adhesive is irradiated with the first light.",H01L23/00; H01L21/67,H01L24/75; H01L24/743; H01L24/83; H01L21/67144; H01L2224/75253; H01L2224/75651; H01L2224/82868; H01L2224/82871; H01L2224/82874; H01L2224/83192; H01L2224/83874,131-275-995-423-071; 130-617-793-764-725; 045-153-169-279-941; 036-368-041-987-254,,2026
059-751-842-954-053,Weight optimized stiffener and sealing structure for direct liquid cooled modules,"A weight optimized stiffener for use in a semiconductor device is disclosed herein. In one example, the stiffener is made of AlSiC for its weight and thermal properties. An O-ring provides sealing between a top surface of the stiffener and a component of the semiconductor device and adhesive provides sealing between a bottom surface of the stiffener and another component of the semiconductor device. The stiffener provides warpage control for a lidless package while enabling direct liquid cooling of a chip or substrate.",H01L23/00; H01L23/16; H01L23/473,H01L23/562; H01L23/16; H01L23/473,191-449-821-251-007; 087-361-763-345-702; 089-113-132-193-909; 024-319-734-303-904; 105-790-253-662-982; 151-378-980-148-166; 199-498-390-167-47X; 150-062-174-701-636; 161-225-037-255-484; 144-694-372-531-728; 091-740-662-367-181; 077-467-169-769-337; 114-079-682-485-621; 093-092-180-562-697; 057-767-812-993-274; 154-503-826-402-778,,2026
