patent_id,title,abstract,ipc_codes,cpc_codes,citations,publication_year
173-661-755-824-22X,Solar energy system and solar plate adjustment system,A solar energy system having a solar plate adjustment system is disclosed. The solar energy system is used for automatically search a best angle for receiving the most solar energy. The solar energy system is automatically toward to east everyday after receiving the solar energy. The solar energy system is able to control the open/close time for a load for saving the energy.,F24S50/20,Y02E10/47,cited_by:0 | cites:0,2010
059-722-513-999-434,A SUNBEAM-BOILER USING WATER CONVEX LENS,"PURPOSE: A sunbeam-boiler using a water convex lens is provided to heat water using solar energy by focusing the solar energy inside a solar energy heater. CONSTITUTION: A sunbeam-boiler using a water convex lens comprises a solar energy heater(100), a solar energy hole(110), a sun light reflection mirror(120) and a water convex lens(200). The solar energy hole is formed on top of the solar energy heater. The sunlight reflection mirror is located on the inner wall of the solar energy heater. The water convex lens is located on the solar energy heater. The water convex lens continuously accumulates solar energy through the solar energy hole by the solar energy heater. A water heating film(300) is in the sun light reflection mirror in the solar energy heater. The hot water is made by passing the water between the water heating film and the water convex lens.",F24S23/30; F24S23/00,F24S23/30; F24S20/20; F24S2023/88; Y02E10/40; F24S23/30; F24S2023/88,cited_by:7 | cites:0,2010
066-276-605-785-130,Solar energy motorcycle,"Some existing solar energy motorcycles use solar energy battery panels to charge batteries. The solar energy motorcycles are energy-saving, environmentally friendly and easy to use; but the existing solar energy motorcycles basically hold up the solar energy battery panels on luggage racks of the motorcycles, and the solar energy battery panels are difficultly fixed so as to increase resistance and cause a certain risk when driving. The invention designs a solar energy motorcycle. The solar energy motorcycle is safe and reliable without obstructing driving, and the solar energy battery panel is mounted on the motorcycle body.",B62K11/00,B62K11/00; B62K2204/00,cited_by:0 | cites:0,2018
085-740-013-986-460,Solar energy harvesting protecting sheath and back-side cover of mobile device,"The present disclosure provides a solar energy harvesting protecting sheath for installing to the back-side cover of a mobile device. The solar energy harvesting protecting sheath comprises a body, a solar energy receiving unit, a solar energy harvesting circuit, a thermal resistive layer and an energy transmission interface. A containing portion of the body is for accommodating the mobile device. The solar energy harvesting circuit is disposed in the body and coupled to the solar energy receiving unit. The solar energy harvesting circuit has at least an energy storage unit for storing solar energy. The thermal resistive layer disposed in the body is placed between the solar energy receiving unit and the solar energy harvesting circuit. The energy transmission interface is coupled to the energy storage unit and transmits the energy in the energy storage unit to the mobile device through an electrical connector of the mobile device.",H05K5/02; H02J7/35,H02J7/35; H02J7/35,cited_by:0 | cites:0,2015
048-995-938-512-913,Solar energy converting device and method and unit for converting solar energy,"The invention discloses a solar energy converting device and method and unit for converting solar energy, and belongs to the field of conversion of solar energy. The solar energy converting device comprises a solar energy panel, a solar energy controller and an electricity energy storing device; the solar energy controller is respectively connected with the solar energy panel and the electricity energy storing device; the solar energy controller comprises a communication interface and a processor which are interconnected; the communication interface is used for receiving an operation instruction sent by a household gateway device and sending the operation instruction to the processor, wherein the operation instruction is generated by a user device and sent to the household gateway device; the processor is used for performing the operation as indicated by the operation instruction. With the adoption of the solar energy converting device, the problem that the solar energy can be converted into electricity only and the function is simple can be solved, and the effect of enriching the functions of the solar energy conversion device is achieved.",H02S40/30,H02S40/00; Y02B10/10; Y02E10/50,cited_by:0 | cites:0,2015
197-463-659-362-305,Solar energy shutter,"The invention relates to a solar energy shutter. Slats of the shutter are provided with solar cell plates stuck to the slats through bonding layers; the solar cell plates on all the slats are connected in series to form a solar cell set; and the shutter also comprises a solar energy generating set consisting of the solar cell set, a solar energy controller, an inverter, a storage cell and a device connected to a household circuit. The invention has the advantages that each solar slat is used as a solar energy generating plate; by means of a unique structural design, the solar energy shutter with a simple and practical structure is provided for people, and sunlight irradiated by the solar energy generating plate is converted into electric energy as the electric energy of other electric apparatus. In the invention, a common shutter is combined with a household solar energy generating system, huge sunlight energy irradiated outside the shutter is converted to be used by people, therefore, the solar energy shutter is energy-saving and environment friendly.",E06B9/264; E06B9/28; E06B9/326; E06B9/38; E06B9/386; H02S10/20,Y02B10/10; Y02E10/50; Y02E70/30,cited_by:1 | cites:0,2012
114-206-083-004-696,Separable solar energy storage device,"A separable solar energy storage device, comprising a solar energy reception device, a solar energy conversion circuit, an extension cord for connecting the solar energy reception device and the solar energy conversion circuit, and storage batteries connecting to the solar energy conversion circuit, the solar energy reception device can be disposed, through connection to the extension cord, at the optimal position for the most efficient reception of solar energy, so as to enable storage batteries to achieve the optimal energy-storage efficiency.",F21S9/03; F21V21/008; H01L31/00; H01L31/02; H01L31/048; H01L31/05; H01L31/058; H02J15/00; H02N3/00,F21S9/032; F21V3/02; F21V21/008; F21W2131/109; H02S40/38; H10F77/935; Y02B10/10; Y02B20/72; Y02E10/50; Y02E70/30; Y10S136/291; Y10S136/293; F21S9/032; F21V3/02; F21V21/008; F21W2131/109; H02S40/38; H10F77/935; Y02B10/10; Y02B20/72; Y02E10/50; Y10S136/291; Y10S136/293,cited_by:3 | cites:0,2004
143-162-209-737-271,Heat dissipation solar energy frame,"The utility model discloses a heat dissipation solar energy frame, including solar panel and solar energy frame, solar panel's one end is fixed in among the solar energy frame, solar energy frame is provided with the seal groove with solar panel's junction, solar energy frame's interior side is provided with one deck rubber packing pad, solar energy frame's outside limit is provided with a plurality of heat radiation fins, the utility model has the advantages of reasonable design, can be effectual dispel the heat to solar energy frame, prevent that solar energy frame from deforming because ofoverheated emergence, increased solar energy frame's life.",F24S40/50,Y02E10/40,cited_by:0 | cites:0,2019
115-159-821-521-183,Solar energy gathering device and solar energy supply system,"The invention provides a solar energy gathering device and a solar energy supply system. The solar energy gathering device comprises two or more solar energy gathering units, the solar energy gathering units comprise condensers and light guides, the condensers are mounted at one ends of the light guides, and the ends, away from the condensers, of the two or more light guides are gathered to form asolar energy output part. The solar energy gathering device can gather sunlight, the energy loss in the solar energy gathering process is small, more solar energy can be obtained, and then the utilization efficiency of the solar energy is improved.",F24S23/71; F24S20/40; F24S80/00; H02S40/44,F24S23/71; F24S20/40; F24S80/00; H02S40/44; Y02E10/40; Y02E10/50; Y02E10/60,cited_by:1 | cites:0,2020
109-817-659-599-533,SIMULATING A QUANTITY OF INTEREST OF LARGE SOLAR ENERGY INSTALLATIONS,"A method for simulating a quantity of interest of a solar energy installation comprising a plurality of solar energy elements (2) and/or of parts thereof, comprising: identifying (103) a plurality of groups of solar energy elements within the solar energy installation, wherein a performance variable is similar for each of the solar energy elements (2) within the group; obtaining (104), for each group, a representative solar energy element (2) of which the performance variable is representative for the group; simulating (105) a quantity of interest of the representative solar energy element (2) of each group; and determining (106), from the quantity of interest of the representative solar energy element (2) of each group, the quantity of interest of the solar energy installation and/or of at least one solar energy element (2) of the solar energy installation.",H02J3/00; G06F30/20; G06Q10/04; G06Q50/06; H02J3/38,H02J3/004; G06F30/20; G06F2119/06; G06Q10/0637; G06Q50/06; H02J3/381; H02J2101/24; H02J2103/30,cited_by:1 | cites:0,2022
199-819-705-697-518,SOLAR ENERGY ALIGNMENT AND COLLECTION SYSTEM,"A solar energy alignment and collection system includes at least two solar energy receivers having a central focal point, with each of the at least two solar energy receivers generating an energy output. An actuation system is operatively coupled to the at least two solar energy receivers and is configured and disposed to shift the solar energy receivers along at least one axis. A control system, operatively linked to the solar receivers and the actuation system, senses the energy output of each solar energy receiver and shifts the actuation system along the at least one axis causing solar energy to be directed at the central focal point. When solar energy is directed at the central focal point, the energy output of each solar energy receiver is substantially identical.",F24S50/20; F24S23/00,F24S50/20; H02S20/32; H10F77/42; Y02E10/47; Y02E10/52; Y02E70/30; F24S50/20; G05D3/105; H02S20/32; H10F77/42; Y02E10/47; Y02E10/52,cited_by:11 | cites:0,2010
048-441-235-455-09X,Solar charging device of light box,"The invention relates to a solar charging device of a light box. The light box (1) is provided with solar energy chips (2); the solar energy chips (2) absorb solar energy; the solar energy is converted into electrical energy through an energy conversion module (5); when the solar energy is not sufficient to support the operating state of the light box (1), a central control module (3) switches on a circuit (4), so that charging can be performed; the solar energy chips (2) are distributed at the side edges and top of the light box (1); the power source of the light box (1) is dependent on the solar energy and the circuit; the central control module (3) determines a power source according to the use situation of the solar energy; and the solar energy chips (2) absorb the solar energy and store the solar energy in the energy conversion module (5). The solar energy is converted into the electrical energy, so that the operation of the light box can be maintained, and therefore, electricity can be saved, and environmentally-friendly electricity utilization can be realized.",H02J7/00,,cited_by:0 | cites:0,2015
193-809-946-747-515,SOLAR ENERGY POWER GENERATION SYSTEM,"The present invention relates to a solar energy power generation system that is capable of effectively collecting solar energy, thereby generating electricity from the solar energy. According to the present invention, the solar energy power generation system includes: a solar energy collecting unit for collecting solar energy to convert an energy absorbing medium into the energy absorbing medium in a gas state; a vacuum turbine for providing kinetic energy through the energy absorbing medium in the gas state generated from the solar energy collecting unit; a power generation unit for converting the kinetic energy supplied from the vacuum turbine into electrical energy; a condenser for cooling the energy absorbing medium in the gas state discharged from the vacuum turbine to a liquid state; and a circulating pump for pumping the energy absorbing medium in the liquid state cooled by the condenser to the solar energy collecting unit, wherein the solar energy collecting unit includes a hollow solar energy collecting tube having an energy absorbing medium flow path formed therein to move the energy absorbing medium and a lens for collecting the solar energy to the solar energy collecting unit.",F03G6/06; F01K7/16; F24S10/70; F24S23/30,Y02E10/44; Y02E10/46; F24S23/31; F24S10/70; F24S23/70; F24S50/80,cited_by:5 | cites:0,2019
078-668-321-089-473,SOLAR ENERGY CONCENTRATION DEVICE AND SOLAR ENERGY SUPPLY SYSTEM,"Provided in the present disclosure are a solar energy concentration device and a solar energy supply system. The solar energy concentration device comprises at least two solar energy concentration units. Each solar energy concentration unit comprises a condenser and a light guide. The condensers are installed at one end of the light guides, and one end of each of at least two light guides away from the condensers converge to form a solar output part. The solar energy concentration device may concentrate sunlight, and energy loss during the solar energy concentration process is little, and more solar energy may be obtained, thereby improving the utilization efficiency of solar energy.",F24S23/71; F24S20/40; F24S80/00; H02S40/44,F24S23/71; F24S20/40; F24S80/00; H02S40/44; Y02E10/40; Y02E10/50; Y02E10/60,cited_by:0 | cites:0,2021
011-854-738-934-116,SOLAR ENERGY HARVESTING PROTECTING SHEATH AND BACK-SIDE COVER FOR MOBILE DEVICE,"The present disclosure provides a solar energy harvesting protecting sheath for installing to the back-side cover of a mobile device. The solar energy harvesting protecting sheath comprises a body, a solar energy receiving unit, a solar energy harvesting circuit, a thermal resistive layer and an energy transmission interface. A containing portion of the body is for accommodating the mobile device. The solar energy harvesting circuit is disposed in the body and coupled to the solar energy receiving unit. The solar energy harvesting circuit has at least an energy storage unit for storing solar energy. The thermal resistive layer disposed in the body is placed between the solar energy receiving unit and the solar energy harvesting circuit. The energy transmission interface is coupled to the energy storage unit and transmits the energy in the energy storage unit to the mobile device through an electrical connector of the mobile device.",H02J7/35,H02J7/35; H02J7/35,cited_by:19 | cites:0,2015
051-519-144-358-185,Portable solar energy power supply system,"The invention provides a portable solar energy power supply system. The portable solar energy power supply system comprises a solar energy panel and a current condenser, wherein absorbed solar energy is converted by the solar energy panel into electrical energy which is stored in the current condenser electrically connected with the solar energy panel, and the solar energy panel is detachably mounted at an inner side or an outer side of a window. Through the portable solar energy power supply system, a problem that the solar energy panels can not be commonly used in city because of having no mounting places in residential buildings of city people is solved. The portable solar energy power supply system is widely applied to the energy source field.",H02S10/20,Y02B10/10; Y02E10/50; Y02E70/30,cited_by:1 | cites:0,2016
180-494-330-060-592,A mobile terminal,"The invention is applicable to the technical field of solar energy conversion, and provides a mobile terminal, comprising a display screen module, a solar circuit module, a solar energy processing module and an external power supply. The solar energy circuit module and the solar energy processing module are arranged inside the display screen module. The solar energy circuit module is used for collecting solar energy, converting the collected solar energy into electric energy and sending the electric energy to the solar energy processing module for processing. The solar energy processing moduleis used for processing the received electric energy, and the processed electric energy is used for supplying power to the display screen module. The external power supply is used for supplying powerto the display screen module. The service life of the external power supply can be prolonged by the above method.",G06F1/26; G06F1/32; H02J9/04,G06F1/26; G06F1/3218; H02J9/04; Y02B10/70; Y02D30/70,cited_by:2 | cites:0,2018
001-991-088-572-085,"태양광 전광판, 태양관 가로등, 태양열 전광판, 태양열 지붕, 태양열 창문, 태양열 가로등, 태양열 창문덧뎀, 태양열 스텐드, 태양열 받침, 태양열 거치대","The present invention relates to sunlight and, more particularly, to solar energy. Solar energy activation solar energy is utilized as energy supply solar energy Some for supplying solar energy as energy as shown in the accompanying drawings and attached drawings are installed. Solar energy is contacted in daily life to have an effect of reducing emissions and energy substitution of other power plants.",H02S20/20; F21S9/03; H02S30/10,Y02B10/10; Y02E10/50; H02S20/20; F21S9/032; H02S30/10,cited_by:0 | cites:0,2020
076-035-604-362-860,Solar heat air generating set,"The invention discloses a solar thermal power generator, which mainly consists of three parts, namely a solar thermal collector, a solar thermal energy accumulator and a power tower. The solar thermal energy collector comprises a solar diffusing thermal energy collector and a solar focusing thermal energy collector, wherein the solar diffusing thermal energy collector is directly connected with the power tower, and the collected solar thermal energy heats air and sends the air to the power tower; and the solar focusing thermal energy collector collects the diffused solar thermal energy, and converts the energy into high-temperature thermal media to store in the solar thermal energy accumulator which transmits the thermal media to the power tower for generating through a thermal media pipeline. Compared with the prior solar power generator, the solar thermal power generator requires less energy transformation, has less energy loss and high solar energy utilization rate; moreover, the construction cost of a power plant is lower, and the generating cost is close to that of a solar thermal power generating system of coal and electricity, so that the solar thermal power generator is suitable for promotion and use.",F03D9/25; F03D9/37; F03G6/04,Y02B10/30; Y02B10/70; Y02E10/46; Y02E10/72,cited_by:0 | cites:0,2009
047-932-534-784-07X,Remote control and solar energy strage system using wireless resonant power transfer apparatus,"The present invention relates to a solar energy storage system using lithium ions and flow cells. More specifically, the solar energy storage system induces a wireless inter-charging operation between a detachable flow battery storing power generated with solar light and adjacent communities in rural areas without an electrical power network of an electrical power company to build an electrical power network as a foundation facility. The solar energy storage system has a detachable structure to be used easily in an outdoor environment or in a camp site. The solar energy storage system includes a solar energy system connection controller and a wireless solar energy charging guide device. According to the present invention, the solar energy system connection controller of the solar energy storage system includes: a solar panel; a solar energy storage device which stores power generated by the solar panel and discharges the stored power to a system load; a control device which executes a control operation to connect the electrical energy stored in the solar energy storage device to adjacent systems through the wireless solar energy charging guide device. The wireless solar energy charging guide device executes a guide operation to connect and distribute the electrical energy stored in the solar energy storage device to systems and to other solar energy storage devices within a predetermined distance in a wireless charging method.",H02S40/38; G08C17/02; G08C19/02; H02J7/02; H02J7/35; H02J50/00; H02S40/32,Y02E10/50; Y02E70/30; H02S40/38; G08C17/02; G08C19/02; H02J7/35; H02J7/751; H02J50/10; H02S40/32; Y02E10/50,cited_by:2 | cites:0,2017
193-904-324-165-508,Flat solar energy converter,"The utility model discloses a flat solar energy converter, which comprises a solar energy collector module, wherein the solar energy collector module comprises a solar energy absorbing plate and a working medium conduit, the solar energy absorbing plate comprises a front side and a reverse side, the front side of the solar energy absorbing plate is provided with a solar energy absorbing coating which is used for converting solar energy into heat energy, or a solar photovoltaic cell is arranged to convert the solar energy into electric energy and heat energy at the same time, the reverse side of the solar energy absorbing plate is provided with an annular neck structure, the working medium conduit is buckled in the annular neck, and heat conduction grease is filled between the working medium conduit and the annular neck. The flat solar energy converter disclosed by the utility model also comprises a phase change heat energy exchange system and has the characteristics of high efficiency, simple structure and low manufacturing cost.",F24J2/46; F24J2/48; F24S10/40; F24S10/75; F24S10/95,Y02E10/44,cited_by:0 | cites:0,2013
061-497-566-056-53X,Hot water combination system is concentrated with solar energy to solar airconditioning,"The utility model discloses a hot water combination system is concentrated with solar energy to solar airconditioning, concentrate the hot water unit including a plurality of solar energy air conditioning unit and a plurality of solar energy, this system can realize solar energy air conditioning unit and solar energy and concentrate the hot water unit one to one, the one -to -many, the many to one, the combination of multi -to -multi, in application, can concentrate hot water unit partial shipment in the rural area of difference with a plurality of solar energy air conditioning unit and a plurality of solar energy, these solar energy air conditioning unit and solar energy are concentrated the hot water unit to constitute a solar energy and are used multipurposely the system, can concentrate the hot water unit to carry out centralized management the solar energy air conditioning unit and the solar energy in same rural area or several neighbouring rural areas, carry out energy allotmentbetween each solar energy air conditioning unit and the concentrated hot water unit of solar energy, make the supply and demand trend towards balanced state, the maximize utilizes solar energy resource. This will greatly impel solar energy to use in rural areas's scale, and new rural construction provides strong technical support for socialism.",F24F5/00; F24F11/89; F24S20/40; F24S50/00,Y02E10/40,cited_by:0 | cites:0,2018
149-183-839-149-790,Solar energy storing method and system,"The present invention relates to a solar energy storing method and system. The solar energy storing method includes the steps as follows: S1, collecting solar energy by a solar energy plate and converting the collected solar energy into electric energy; S2, detecting the real-time maximum power of the solar energy plate; S3, controlling the solar energy plate to input the electricity energy with the real-time maximum power to a main energy storing module; S4, judging whether the electricity energy of the main energy storing module is full or not, stopping the input of the electricity energy to the main energy storing module if the electricity energy of the main energy storing module is full, and returning the step S1 if the electricity energy of the main energy storing module is not full. The solar energy storing method and system can efficiently utilize solar energy, has the advantages of energy conservation and environmental protection, and can efficiently input the electricity energy converted from solar energy to the energy storing module.",H02J7/00; H02S10/20,Y02E10/50; Y02E70/30,cited_by:0 | cites:0,2016
093-186-347-679-705,Solar energy and air energy combination hot water control system,"The utility model provides a solar energy and air energy combination hot water control system. The solar energy and air energy combination hot water control system comprises a solar energy circulating system, an air energy circulating system and a transition water pump connected with the solar energy circulating system and the air energy circulating system. The solar energy and air energy combination hot water control system is reasonable in design, the solar energy circulating system and the air energy circulating system are reasonably combined, solar energy is fully utilized, air energy is combined to overcome the shortcoming that the solar energy is subject to the climate influence, the solar energy utilization rate can be improved by about 40%, and the use cost is reduced.",F24J2/40; F24J2/00,Y02E10/40,cited_by:3 | cites:0,2014
150-673-701-740-024,Solar energy acquisition device,"The utility model discloses a solar energy acquisition device which belongs to the field of solar energy utilization and comprises a bracket and a solar energy acquisition panel arranged on the bracket, the outer surface of the solar energy acquisition panel takes on a cone shape, and the solar energy acquisition panel is designed in an array manner. By adopting the solar energy acquisition device, with limited land occupation area, solar energy acquisition area is enlarged, and the output power of solar power generation is increased; and most of the dispersed and reflected light of the sunlight is absorbed by the surface of an adjacent solar energy acquisition panel, so that the use ratio of the solar energy is improved.",F24J2/00; H02S40/22,Y02E10/40; Y02E10/50,cited_by:1 | cites:0,2011
083-483-333-672-48X,Solar energy heating water system provided with solar energy total heat meter,"The utility model relates to a solar energy heating water system provided with a solar energy total heat meter. By adopting the solar energy heating water system, the utility model can measure the practical absorbed solar energy of a solar energy collector, quantify the energy saving effect of the solar energy and can establish the corresponding management method according to the practical absorbed heat quantity of solar energy in different seasons so as to improve the use efficiency of the solar energy; the solar energy heating water system comprises the solar energy collector and a water tank communicated with the solar energy collector through a water outlet pipe and a water inlet pipe; and the solar energy heating water system is characterized in that a heat quantity meter is arranged on the water outlet pipe, and a temperature sensor connected with the heat quantity meter through a signal wire is arranged on the water inlet pipe.",F24D17/00; F24J2/04; G01K17/06,Y02B10/20; Y02B10/70; Y02E10/44,cited_by:3 | cites:0,2009
047-750-552-329-241,Solar energy panel charger,"The utility model discloses a solar energy panel charger comprising a solar energy electric power generation system, switches and output plug heads, wherein the solar energy electric power generation system comprises a solar cell panel, a solar energy controller and a storage battery; the solar cell panel is connected with the solar energy controller; the solar energy controller is connected with the storage battery; the storage battery is connected with the switches and the plug heads. The solar energy panel charger is characterized in that electric energy is supplied through solar energy, solar energy resources are effectively used, the electric energy is saved, a plurality of electronic products can be charged at the same time, time is saved, the electronic products can be normally used by people is guaranteed, and convenience is brought to life of people.",H02J7/00,,cited_by:1 | cites:0,2013
157-319-982-383-213,Solar energy alignment and collection system,"A solar energy alignment and collection system includes at least two solar energy receivers having a central focal point, with each of the at least two solar energy receivers generating an energy output. An actuation system is operatively coupled to the at least two solar energy receivers and is configured and disposed to shift the solar energy receivers along at least one axis. A control system, operatively linked to the solar receivers and the actuation system, senses the energy output of each solar energy receiver and shifts the actuation system along the at least one axis causing solar energy to be directed at the central focal point. When solar energy is directed at the central focal point, the energy output of each solar energy receiver is substantially identical.",F24S50/20; F24S23/00; G01S3/78; G01S3/784; G05D3/00,F24S50/20; H02S20/32; H10F77/42; Y02E10/47; Y02E10/52; Y02E70/30; F24S50/20; G05D3/105; H02S20/32; H10F77/42; Y02E10/47; Y02E10/52,cited_by:1 | cites:0,2013
111-294-783-510-032,SYSTEM THAT INCREASES SOLAR ENERGY PRODUCTION FOR LARGE SCALE SOLAR ENERGY INSTALLATIONS,"Systems and methods for solar energy systems are disclosed. A solar energy system comprising a plurality of elevated rectilinear solar energy structures covering an area is disclosed. Each of the solar energy structures of the plurality of elevated rectilinear solar energy structures has a long side and a short side. The plurality of elevated rectilinear solar energy structures are grouped together, oriented and aligned such that the long side of each of the solar energy structures is generally parallel and at least one of the plurality of elevated rectilinear solar energy structures has a plurality of solar panels attached in a fixed manner forming a solar energy collection canopy.",H02S20/10; H02S20/20; H02S30/10,A01G13/21; H02S20/10; H02S20/23; Y02B10/10; Y02E10/50; Y02P60/12; H02S20/20; A01G13/21; E04H15/00; H02S20/10; H02S30/10,cited_by:6 | cites:0,2022
126-657-189-980-01X,Solar tile,"The utility model relates to a solar energy utilization device, in particular relates to a solar energy tile. The utility model discloses a solar energy tile which comprises a tile substrate body and is characterized in that a solar energy battery panel is arranged on the sun-orientation surface of the tile, and the solar energy battery panel is connected with a storage battery to construct a loop through a solar energy controller. The solar energy tile has simple structure, practicality, convenience, and is widely applicable to roofs and can absorb solar energy without occupying limited space, and convert solar energy into electrical energy and store the electrical energy for standby application in future.",E04D13/18,Y02B10/10; Y02E10/50,cited_by:0 | cites:0,2009
038-539-052-228-364,Solar energy automatic tracking photovoltaic power generation drive system,"The invention provides a solar energy automatic tracking photovoltaic power generation drive system. The solar energy automatic tracking photovoltaic power generation drive system aims to provide a drive system which uses solar energy as an energy source and is used for the rotating of a solar panel. The solar energy automatic tracking photovoltaic power generation drive system comprises a solar energy groove-type panel, a solar energy automatic tracker, a solar energy battery pack, a motor box, a motor, a drive gear, a rotary shaft and a storage battery. Driven by the solar energy automatic tracker, the solar energy automatic tracking photovoltaic power generation drive system can track sunshine all-weather, photovoltaic power generation of the solar energy battery pack supplies power source for the rotating of the solar energy groove-type panel, so that the solar energy automatic tracking photovoltaic power generation drive system is provided with high solar energy utilization efficiency and mass transfer efficiency, the efficiency of a fixed type solar energy battery is normally around 10%, and the efficiency of the solar energy battery using the automatic tracking technology can be up to around 20%. Due to the fact that the driving power source is supplied by the solar power generation, the solar energy automatic tracking photovoltaic power generation drive system gets over the constraint of an external power source, and thus high efficiency, energy conservation and self-sufficiency are achieved.",G05D3/00; H02J7/00; H02S10/20,Y02E10/50; Y02E10/60; Y02E70/30,cited_by:1 | cites:0,2013
195-649-554-481-829,Energy Recovery of Secondary Obscuration,"A solar energy system is provided to capture an increased amount of solar energy in an area. Methods and devices to collect obscured solar radiation and covert it into usable electrical energy are described. The devices include a major concentrated solar energy system combined with a minor solar energy system. In one embodiment, the minor solar energy system includes a primary mirror, secondary mirror and a second photocell. Primary and secondary mirrors of a minor solar energy system are defined by their location, at least a portion of which may be substantially within the concave region of the secondary mirror of a major solar energy system. The electrical connection from the minor solar energy system to the major solar energy system is described. Methods for making minor solar energy system are provided.",H01L31/042,H10F77/488; Y02E10/52; H10F77/488; Y02E10/52,cited_by:19 | cites:0,2010
192-781-664-512-285,Fixed point array heat pipe solar utilization system,"The utility model relates to solar energy focusing and utilization, especially the use of point-focusing solar energy mirror to realize solar energy collection and application to a fixed point array heat pipe solar energy utilization system. The utility model comprises at least one or one group of point-focusing solar energy mirror(s), at least one heat pipe utilization device and a tracking control device, wherein the solar energy mirror is arranged on a solar energy mirror bracket, the heat pipe utilization device is arranged in point-shaped region of focusing of the solar energy mirror, and arranged above or below the solar energy mirror, and the solar energy mirror has its focal distance changed during process of tracking the solar energy and maintains its focal distance always in the point-shaped region of the heat pipe utilization device; and the tracking control device controls the solar energy mirror to focus sunlight onto the at least one heat pipe utilization device when the sun changes, and during the process of the solar energy mirror tracking solar energy, the heat pipe utilization device does not move together with the solar energy mirror, and remains static relative to the ground, to realize solar energy tracking, focusing and utilization.",F24S10/95; F24S23/00; F24S50/20; H02S40/22; H02S40/44,Y02E10/44; Y02E10/47; Y02E10/50; Y02E10/60,cited_by:3 | cites:0,2012
091-581-496-133-762,Solar energy water heater for heating,"A multifunctional solar energy water heater for heating with high heat efficiency comprises a solar energy water tank. Solar energy collection vacuum tubes are fixedly connected to two sides of the solar energy water tank and communicated with the solar energy water tank; a water service pipe is arranged at the lower end of the solar energy water tank and communicated with the solar energy water tank; a heat exchanger coil is arranged in the solar energy water tank; the upper end of the heat exchanger coil passes through the upper surface of the solar energy water tank, while the lower end of the heat exchanger coil passes through the lower surface of the solar energy water tank; and an air exhaust opening is formed on the upper surface of the solar energy water tank.",F24S10/40; F24S10/30,Y02E10/44,cited_by:1 | cites:0,2010
183-248-584-550-554,Energy-conserving energy storage system of engineering type solar energy,"The utility model discloses an energy-conserving energy storage system of engineering type solar energy, including solar energy heating the water tank, solar energy heat-retaining constant temperature water tank and solar collector, said solar collector is three, and wherein two solar collector are connected with solar energy heating the water tank, and a solar collector is connected with solar energy heat-retaining constant temperature water tank, solar energy heating the water tank passes through communicating pipe with solar energy heat-retaining constant temperature water tank and is connected, all be equipped with the fluid level control line on solar energy heating the water tank and the solar energy heat-retaining constant temperature water tank, it has phase change material all to fill in solar energy heating the water tank and the solar energy heat-retaining constant temperature water tank, solar energy heating the water tank top is equipped with running water moisturizing pipe, and solar energy heat-retaining constant temperature water tank lower extreme is equipped with the hot water delivery pipe the utility model discloses a physics and phase change material's combination improves solar thermal energy energy utilization rate, through adopting phase change material, has improved the heat preservation effect, has lengthened holding time, can continuously provide hot water in a large number, and is more energy-concerving and environment-protective",F24J2/34,Y02E10/40,cited_by:2 | cites:0,2015
116-330-236-147-147,Portable solar energy charger,"The utility model discloses a portable solar energy charger, which is characterized by comprising at least two solar energy panels, wherein the two solar energy panels are respectively provided with a frame, the two adjacent solar energy panels which are respectively provided with the frame can be mutually folded, each solar energy panel is provided with a connecting box, the connecting box is connected with a charger through a guide wire, the number of the solar energy panels which are provided with the frames is two, i.e. a first solar energy panel provided with a frame and a second solar energy panel provided with the frame, and the two solar energy panels which are provided with the frames are mutually hinged through the frame at a corresponding side of each solar energy panel. The portable solar energy charger is convenient to carry, can carry out charging by utilizing the solar energy, and is energy-saving and environment-friendly to use.",H02S30/20,Y02E10/50,cited_by:2 | cites:0,2011
070-908-454-166-099,SOLAR HANDPHONE,PURPOSE: A solar mobile phone is provided to conveniently be used anywhere using solar energy without an additional charging device. CONSTITUTION: A solar mobile phone comprises a part for the collection of the solar energy in the front side. The solar mobile phone precludes the necessity of the charge with the help of solar energy. The solar mobile phone is used anywhere conveniently without the need of charge. The solar mobile phone does not include a battery. The collected solar energy is converted into the energy. The solar mobile phone is operated by using the solar energy.,H04B1/38,H04M1/026,cited_by:0 | cites:0,2009
